id	frequency
https://openalex.org/fields/13	2399
https://openalex.org/fields/27	1021
https://openalex.org/fields/17	518
https://openalex.org/fields/18	369
https://openalex.org/fields/11	344
https://openalex.org/fields/23	317
https://openalex.org/fields/24	196
https://openalex.org/fields/28	196
https://openalex.org/fields/16	192
https://openalex.org/fields/25	166
https://openalex.org/fields/22	128
https://openalex.org/fields/30	50
https://openalex.org/fields/29	49
https://openalex.org/fields/36	46
https://openalex.org/fields/19	45
https://openalex.org/fields/20	39
https://openalex.org/fields/31	35
https://openalex.org/fields/26	29
https://openalex.org/fields/33	27
https://openalex.org/fields/32	26
https://openalex.org/fields/34	22
https://openalex.org/fields/21	15
https://openalex.org/fields/35	11
https://openalex.org/fields/14	10
https://openalex.org/fields/12	7
https://openalex.org/fields/15	5
