category	entry_id	openalex_id	doi	publication_year	authors
domains	https://openalex.org/domains/3	https://openalex.org/W2582743722		2014	R Core Team
domains	https://openalex.org/domains/3	https://openalex.org/W2100837269	https://doi.org/10.1038/227680a0	1970	Ulrich K. Laemmli
domains	https://openalex.org/domains/3	https://openalex.org/W1981368803	https://doi.org/10.1103/physrevlett.77.3865	1996	John P. Perdew, Kieron Burke, Matthias Ernzerhof
domains	https://openalex.org/domains/3	https://openalex.org/W2194775991	https://doi.org/10.1109/cvpr.2016.90	2016	Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun
domains	https://openalex.org/domains/3	https://openalex.org/W2083222334	https://doi.org/10.1103/physrevb.54.11169	1996	Georg Kresse, J. Furthmüller
domains	https://openalex.org/domains/3	https://openalex.org/W2911964244	https://doi.org/10.1023/a:1010933404324	2001	Leo Breiman
domains	https://openalex.org/domains/3	https://openalex.org/W2143981217	https://doi.org/10.1063/1.464913	1993	Axel D. Becke
domains	https://openalex.org/domains/3	https://openalex.org/W2023271753	https://doi.org/10.1103/physrevb.37.785	1988	Chengteh Lee, Weitao Yang, Robert G. Parr
domains	https://openalex.org/domains/3	https://openalex.org/W2110065044	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	1995	Yoav Benjamini, Yosef Hochberg
domains	https://openalex.org/domains/3	https://openalex.org/W2131350133	https://doi.org/10.1107/s0108767307043930	2007	George M. Sheldrick
domains	https://openalex.org/domains/3	https://openalex.org/W1527311855		1984	Robert K. Yin
domains	https://openalex.org/domains/3	https://openalex.org/W2064675550	https://doi.org/10.1162/neco.1997.9.8.1735	1997	Sepp Hochreiter, Jürgen Schmidhuber
domains	https://openalex.org/domains/3	https://openalex.org/W1484864026		1983	Barbara G. Tabachnick, Linda S. Fidell
domains	https://openalex.org/domains/3	https://openalex.org/W1970127494	https://doi.org/10.1103/physrevb.50.17953	1994	Peter E. Blöchl
domains	https://openalex.org/domains/3	https://openalex.org/W1856219842	https://doi.org/10.1016/0003-2697(90)90598-4	1990	A. E. Greenberg, Lenore S. Clesceri, Andrew D. Eaton
domains	https://openalex.org/domains/3	https://openalex.org/W1995875735	https://doi.org/10.1002/j.1538-7305.1948.tb01338.x	1948	Claude E. Shannon
domains	https://openalex.org/domains/3	https://openalex.org/W2158714788	https://doi.org/10.1093/nar/25.17.3389	1997	Stephen F. Altschul
domains	https://openalex.org/domains/3	https://openalex.org/W2164777277	https://doi.org/10.2307/2529310	1977	J. Richard Landis, Gary G. Koch
domains	https://openalex.org/domains/3	https://openalex.org/W2138270253	https://doi.org/10.1073/pnas.74.12.5463	1977	Frederick Sanger, S. Nicklen, Alan Coulson
domains	https://openalex.org/domains/3	https://openalex.org/W1979544533	https://doi.org/10.1103/physrevb.59.1758	1999	Georg Kresse, Daniel P. Joubert
domains	https://openalex.org/domains/3	https://openalex.org/W2964121744	https://doi.org/10.48550/arxiv.1412.6980	2014	Diederik P. Kingma, Jimmy Ba
domains	https://openalex.org/domains/3	https://openalex.org/W2163605009		2012	Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton
domains	https://openalex.org/domains/3	https://openalex.org/W1951724000	https://doi.org/10.18637/jss.v067.i01	2015	Douglas M. Bates, Martin Mächler, Benjamin M. Bolker, Steve Walker
domains	https://openalex.org/domains/3	https://openalex.org/W1901129140	https://doi.org/10.1007/978-3-319-24574-4_28	2015	Olaf Ronneberger, Philipp Fischer, Thomas Brox
domains	https://openalex.org/domains/3	https://openalex.org/W2919115771	https://doi.org/10.1038/nature14539	2015	Yann LeCun, Yoshua Bengio, Geoffrey E. Hinton
domains	https://openalex.org/domains/3	https://openalex.org/W2007395042	https://doi.org/10.1016/0927-0256(96)00008-0	1996	Georg Kresse, J. Furthmüller
