category	entry_id	openalex_id	doi	publication_year	authors
fields	https://openalex.org/fields/25	https://openalex.org/W2131350133	https://doi.org/10.1107/s0108767307043930	2007	George M. Sheldrick
fields	https://openalex.org/fields/25	https://openalex.org/W1979544533	https://doi.org/10.1103/physrevb.59.1758	1999	Georg Kresse, Daniel P. Joubert
fields	https://openalex.org/fields/25	https://openalex.org/W2058122340	https://doi.org/10.1126/science.1102896	2004	Kostya S. Novoselov, A. K. Geǐm, С. В. Морозов, Da Jiang, Y. Zhang, S. V. Dubonos, I. V. Grigorieva, А. А. Firsov
fields	https://openalex.org/fields/25	https://openalex.org/W2167590372	https://doi.org/10.1107/s0567739476001551	1976	R. D. Shannon
fields	https://openalex.org/fields/25	https://openalex.org/W2029667189	https://doi.org/10.1016/0263-7855(96)00018-5	1996	William Humphrey, Andrew Dalke, Klaus Schulten
fields	https://openalex.org/fields/25	https://openalex.org/W2132629607	https://doi.org/10.1002/jcc.20084	2004	Eric F. Pettersen, Thomas D. Goddard, Conrad C. Huang, Gregory S. Couch, Daniel M. Greenblatt, Elaine C. Meng, Thomas E. Ferrin
fields	https://openalex.org/fields/25	https://openalex.org/W2018858346	https://doi.org/10.1038/354056a0	1991	Sumio Iijima
fields	https://openalex.org/fields/25	https://openalex.org/W2014935324	https://doi.org/10.1038/nmat1849	2007	A. K. Geǐm, Kostya S. Novoselov
fields	https://openalex.org/fields/25	https://openalex.org/W2130479394	https://doi.org/10.1093/nar/28.1.235	2000	Helen Berman
fields	https://openalex.org/fields/25	https://openalex.org/W1969360633	https://doi.org/10.1107/s2053229614024218	2014	George M. Sheldrick
fields	https://openalex.org/fields/25	https://openalex.org/W1539796472	https://doi.org/10.1016/s0076-6879(97)76066-x	1997	Zbyszek Otwinowski, W. Minor
fields	https://openalex.org/fields/25	https://openalex.org/W2069006374	https://doi.org/10.1063/1.456153	1989	Thom H. Dunning
fields	https://openalex.org/fields/25	https://openalex.org/W2144081223	https://doi.org/10.1107/s0907444904019158	2004	Paul Emsley, Kevin Cowtan
fields	https://openalex.org/fields/25	https://openalex.org/W4233194460	https://doi.org/10.1021/ja01539a017	1958	William S. Hummers, Richard E. Offeman
fields	https://openalex.org/fields/25	https://openalex.org/W1980216394	https://doi.org/10.1038/353737a0	1991	Brian C. O’Regan, Michaël Grätzel
fields	https://openalex.org/fields/25	https://openalex.org/W2134967712	https://doi.org/10.1002/jcc.21334	2009	Oleg Trott, Arthur J. Olson
