category	entry_id	openalex_id	doi	publication_year	authors
subfields	https://openalex.org/subfields/1802	https://openalex.org/W1791587663	https://doi.org/10.2307/249008	1989	Fred D. Davis
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2132629607	https://doi.org/10.1002/jcc.20084	2004	Eric F. Pettersen, Thomas D. Goddard, Conrad C. Huang, Gregory S. Couch, Daniel M. Greenblatt, Elaine C. Meng, Thomas E. Ferrin
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2100379340	https://doi.org/10.2307/30036540	2003	Venkatesh, Morris , Davis, Davis
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2289205268		2010	Antônio Carlos Gil
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2137015675	https://doi.org/10.1093/bioinformatics/btm404	2007	Mark Larkin, Gordon Blackshields, Nigel P. Brown, Chenna Ramu, Paul McGettigan, Hamish McWilliam, F. Valentin, Iain M. Wallace, Andreas Wilm, Rodrigo López, Julie Thompson, Toby J. Gibson, Desmond G. Higgins
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2033943395	https://doi.org/10.1287/mnsc.35.8.982	1989	Fred D. Davis, Richard P. Bagozzi, Paul R. Warshaw
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2021365718	https://doi.org/10.1590/s1415-65552003000100015	2003	Miguel Caldas
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2105846236	https://doi.org/10.1007/s11747-014-0403-8	2014	Jörg Henseler, Christian M. Ringle, Marko Sarstedt
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2168569455	https://doi.org/10.1287/mnsc.46.2.186.11926	2000	Viswanath Venkatesh, Fred D. Davis
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2128880918	https://doi.org/10.1093/bioinformatics/bts199	2012	Matthew D. Kearse, Richard Moir, Amy Wilson, Steven Stones-Havas, Matthew Cheung, Shane Sturrock, Simon Buxton, Alex Cooper, Sidney Markowitz, Chris Duran, Tobias Thierer, Bruce Ashton, Peter Meintjes, Alexei J. Drummond
subfields	https://openalex.org/subfields/1802	https://openalex.org/W2137247419	https://doi.org/10.2307/1252308	1994	Robert M. Morgan, Shelby D. Hunt
