category	entry_id	openalex_id	doi	publication_year	authors
topics	https://openalex.org/T11986	https://openalex.org/W2132629607	https://doi.org/10.1002/jcc.20084	2004	Eric F. Pettersen, Thomas D. Goddard, Conrad C. Huang, Gregory S. Couch, Daniel M. Greenblatt, Elaine C. Meng, Thomas E. Ferrin
topics	https://openalex.org/T11986	https://openalex.org/W2137015675	https://doi.org/10.1093/bioinformatics/btm404	2007	Mark Larkin, Gordon Blackshields, Nigel P. Brown, Chenna Ramu, Paul McGettigan, Hamish McWilliam, F. Valentin, Iain M. Wallace, Andreas Wilm, Rodrigo López, Julie Thompson, Toby J. Gibson, Desmond G. Higgins
topics	https://openalex.org/T11986	https://openalex.org/W2128880918	https://doi.org/10.1093/bioinformatics/bts199	2012	Matthew D. Kearse, Richard Moir, Amy Wilson, Steven Stones-Havas, Matthew Cheung, Shane Sturrock, Simon Buxton, Alex Cooper, Sidney Markowitz, Chris Duran, Tobias Thierer, Bruce Ashton, Peter Meintjes, Alexei J. Drummond
topics	https://openalex.org/T11986	https://openalex.org/W2944434778	https://doi.org/10.1016/j.jbi.2019.103208	2019	Paul A. Harris, Robert J. Taylor, Brenda L. Minor, Veida Elliott, Michelle Fernández, Lindsay O’Neal, Laura McLeod, Giovanni Delacqua, Francesco Delacqua, Jacqueline Kirby, Stephany N. Duda
topics	https://openalex.org/T11986	https://openalex.org/W2990427812	https://doi.org/10.21105/joss.01686	2019	Hadley Wickham, Mara Averick, Jennifer Bryan, Winston Chang, Lucy D’Agostino McGowan, Romain François, Garrett Grolemund, Alex Hayes, L. Banziiaf Henry, Jim Hester, Max Kühn, Thomas Lin Pedersen, Evan Miller, Stephan Bache, Kirill Müller, Jeroen Ooms, David M. Robinson, Dana P. Seidel, Vitalie Spinu, Kohske Takahashi, Davis Vaughan, Claus O. Wilke, Kara Woo, Hiroaki Yutani
topics	https://openalex.org/T11986	https://openalex.org/W2302501749	https://doi.org/10.1038/sdata.2016.18	2016	Mark D. Wilkinson, Michel Dumontier, IJsbrand Jan Aalbersberg, Gabrielle Appleton, Myles Axton, Arie Baak, Niklas Blomberg, Jan‐Willem Boiten, Luiz Olavo Bonino da Silva Santos, Philip E. Bourne, Jildau Bouwman, Anthony J. Brookes, Tim W. Clark, Mercè Crosas, Ingrid Dillo, Olivier Dumon, Scott Edmunds, Chris T. Evelo, Richard Finkers, Alejandra González-Beltrán, Alasdair J. G. Gray, Paul Groth, Carole Goble, Jeffrey S. Grethe, Jaap Heringa, Peter A.C. ‘t Hoen, Rob Hooft, Tobias Kuhn, Ruben Kok, Joost N. Kok, Scott J. Lusher, Maryann E. Martone, Albert Mons, Abel L. Packer, Bengt Persson, Philippe Rocca‐Serra, Marco Roos, René van Schaik, Susanna‐Assunta Sansone, Erik Schultes, Thierry Sengstag, Ted Slater, George Strawn, Morris A. Swertz, Mark Thompson, Johan van der Lei, Erik M. van Mulligen, Jan Velterop, Andra Waagmeester, Peter Wittenburg, Katherine Wolstencroft, Jun Zhao, Barend Mons
topics	https://openalex.org/T11986	https://openalex.org/W2160697532	https://doi.org/10.1186/gb-2004-5-10-r80	2004	Robert Gentleman, Vincent J. Carey, Douglas M. Bates, Ben Bolstad, Marcel Dettling, Sandrine Dudoit, Byron Ellis, Laurent Gautier, Yongchao Ge, Jeff Gentry, Kurt Hornik, Torsten Hothorn, Wolfgang Huber, Stefano M. Iacus, Rafael A. Irizarry, Friedrich Leisch, Cheng Li, Martin Maechler, Anthony Rossini, Günther Sawitzki, Colin A. Smith, Gordon K. Smyth, Luke Tierney, Jean Yang, Jianhua Zhang
topics	https://openalex.org/T11986	https://openalex.org/W2166244948	https://doi.org/10.1088/0953-8984/14/11/301	2002	Matthew Segall, Philip J. D. Lindan, Matt Probert, Chris J. Pickard, Phil Hasnip, Stewart J. Clark, M. C. Payne
topics	https://openalex.org/T11986	https://openalex.org/W3004157836	https://doi.org/10.1119/1.14981	1987	William H. Press, Brian P. Flannery, Saul A. Teukolsky, William T. Vetterling, Harvey Gould
topics	https://openalex.org/T11986	https://openalex.org/W2271840356	https://doi.org/10.48550/arxiv.1603.04467	2016	Martı́n Abadi, Ashish Agarwal, Paul Barham, Eugene Brevdo, Zhifeng Chen, Craig Citro, Gregory S. Corrado, Andy Davis, Jay B. Dean, Matthieu Devin, Sanjay Ghemawat, Ian Goodfellow, Andrew Harp, Geoffrey Irving, Michael Isard, Yangqing Jia, Rafał Józefowicz, Łukasz Kaiser, Manjunath Kudlur, Josh Levenberg, Dan Mané, Rajat Monga, Sherry Moore, Derek G. Murray, Chris Olah, Mike Schuster, Jonathon Shlens, Benoit Steiner, Ilya Sutskever, Kunal Talwar, Paul A. Tucker, Vincent Vanhoucke, Vijay Vasudevan, Fernanda Viégas, Oriol Vinyals, Pete Warden, Martin Wattenberg, Martin Wicke, Yuan Yu, Xiaoqiang Zheng
