PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_NATION_NAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_NAME,FIRST_AUTHOR_NATION_STATUS_NAME,FIRST_AUTHOR_NATION_SURNAME,FIRST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,FIRST_AUTHOR_NATION_STATUS_SURNAME,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,FIRST_AUTHOR_SELECTED_NATION_CATEGORY,LAST_AUTHOR_NATION_NAME,LAST_AUTHOR_COUNTRY_PROBABILITY_NAME,LAST_AUTHOR_NATION_STATUS_NAME,LAST_AUTHOR_NATION_SURNAME,LAST_AUTHOR_COUNTRY_PROBABILITY_SURNAME,LAST_AUTHOR_NATION_STATUS_SURNAME,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS,LAST_AUTHOR_SELECTED_NATION_CATEGORY
0s and 1s in marine molecular research: a regional HPC perspective.,Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
0s and 1s in marine molecular research: a regional HPC perspective.,Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
0s and 1s in marine molecular research: a regional HPC perspective.,Haris Zafeiropoulos,Haris,Evangelos Pafilis,Evangelos,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
"1,4-Disubstituted 1H-1,2,3-Triazole Containing Peptidotriazolamers: A New Class of Peptidomimetics With Interesting Foldamer Properties.",David C Schröder,David C,Norbert Sewald,Norbert,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,1.0,PASS,
20 years of the SMART protein domain annotation resource.,Ivica Letunic,Ivica,Peer Bork,Peer,PASS,,,,,,,male,0.98,PASS,,,,,,,,male,0.98,PASS,
2022 Outstanding Contributions to ISCB Award: Reinhard Schneider.,Christina Fogg,Christina,Martin Vingron,Martin,PASS,,,,,,,female,1.0,PASS,,,,,,,,male,0.99,PASS,
25 years of basic and translational science in EP Europace: novel insights into arrhythmia mechanisms and therapeutic strategies.,Carol Ann Remme,Carol Ann,Katja E Odening,Katja E,PASS,,,,,,,female,0.99,PASS,,,,,,,,female,0.99,PASS,
2DProts: Database of Family-Wide Protein Secondary Structure Diagrams.,Ivana Hutařová Vařeková,Ivana,Karel Berka,Karel,PASS,,,,,,,female,0.99,PASS,,,,,,,,male,0.96,PASS,
3D-Beacons: Decreasing the gap between protein sequences and structures through a federated network of protein structure data resources,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3D-Beacons: decreasing the gap between protein sequences and structures through a federated network of protein structure data resources.,Mihaly Varadi,Mihaly,Sameer Velankar,Sameer,PASS,,,,,,,male,0.95,PASS,,,,,,,,male,0.99,PASS,
3DBIONOTES v2.0: a web server for the automatic annotation of macromolecular structures.,Joan Segura,Joan,J M Carazo,J M,PASS,,,,,,,female,0.83,PASS,,,,,,,,male,0.88,PASS,
