PMCID,FIRST_AUTHOR,FIRST_AUTHOR_NAME,LAST_AUTHOR,LAST_AUTHOR_NAME,ASSOCIATED_AUTHORS,FIRST_AUTHOR_GENDER,FIRST_AUTHOR_GENDER_PROBABILITY,FIRST_NAME_GENDER_STATUS,LAST_AUTHOR_GENDER,LAST_AUTHOR_GENDER_PROBABILITY,LAST_AUTHOR_GENDER_STATUS
3Rs toxicity testing and disease modeling projects in the European Horizon 2020 research and innovation program.,Mathieu Vinken,Mathieu,NaN,NaN,PASS,male,0.99,PASS,,,
A benchmark of optimization solvers for genome-scale metabolic modeling of organisms and communities.,Daniel Machado,Daniel,NaN,NaN,PASS,male,0.99,PASS,,,
A recent origin of Orf3a from M protein across the coronavirus lineage arising by sharp divergence.,Christos A Ouzounis,Christos A,NaN,NaN,PASS,male,1.0,PASS,,,
A survey into the contribution of regional/national pathogen data platforms and on the resources needed to develop and maintain them,Aitana Neves,Aitana,NaN,NaN,PASS,female,0.99,PASS,,,
A versatile and interoperable computational framework for the analysis and modeling of COVID-19 disease mechanisms,Anna Niarakis,Anna,NaN,NaN,PASS,female,0.99,PASS,,,
An Expanded Genome-Wide Association Study of Type 2 Diabetes in Europeans.,Robert A Scott,Robert A,NaN,NaN,PASS,male,0.97,PASS,,,
An annotated nomenclatural checklist of endemic vascular plants distributed in the Ukrainian Carpathians.,Andriy Novikov,Andriy,NaN,NaN,PASS,male,1.0,PASS,,,
An overview of bioinformatics courses delivered at the academic level in Italy: Reflections and recommendations from BITS.,Roberto Marangoni,Roberto,NaN,NaN,PASS,male,1.0,PASS,,,
"Analysing and identifying miRNAs from RNA-seq data using miRDeep2 tool in Galaxy, a practical guide",Rifqi Rafsanjani,Rifqi,NaN,NaN,PASS,male,0.93,PASS,,,
Applying the FAIR principles to data in a hospital: challenges and opportunities in a pandemic,Núria Queralt-Rosinach,Núria,NaN,NaN,PASS,female,1.0,PASS,,,
Applying the FAIR principles to data in a hospital: challenges and opportunities in a pandemic.,Núria Queralt-Rosinach,Núria,NaN,NaN,PASS,female,1.0,PASS,,,
Assessment of the genetic and clinical determinants of fracture risk: genome wide association and mendelian randomisation study.,Katerina Trajanoska,Katerina,NaN,NaN,PASS,female,0.99,PASS,,,
Association Between Lysine Reduction Therapies and Cognitive Outcomes in Patients With Pyridoxine-Dependent Epilepsy.,Curtis R Coughlin,Curtis R,NaN,NaN,PASS,male,1.0,PASS,,,
BBMRI-ERIC's contributions to research and knowledge exchange on COVID-19.,Petr Holub,Petr,NaN,NaN,PASS,male,0.99,PASS,,,
Bioconda: sustainable and comprehensive software distribution for the life sciences.,Björn Grüning,Björn,NaN,NaN,PASS,male,1.0,PASS,,,
Bioinformatics solutions for big data analysis in life sciences presented by the German network for bioinformatics infrastructure.,A Pühler,A,NaN,NaN,PASS,,,PASS,,,
Biomarkers of disease progression in people with psoriasis: a scoping review.,Ravi Ramessur,Ravi,NaN,NaN,PASS,male,0.99,PASS,,,
Biomarkers of systemic treatment response in people with psoriasis: a scoping review.,Mark Corbett,Mark,NaN,NaN,PASS,male,1.0,PASS,,,
BrAPI-an application programming interface for plant breeding applications.,Peter Selby,Peter,NaN,NaN,PASS,male,1.0,PASS,,,
Butler enables rapid cloud-based analysis of thousands of human genomes.,Sergei Yakneen,Sergei,NaN,NaN,PASS,male,1.0,PASS,,,
"COVID-19 Disease Map, a computational knowledge repository of SARS-CoV-2 virus-host interaction mechanisms",Marek Ostaszewski,Marek,NaN,NaN,PASS,male,1.0,PASS,,,
"COVID19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",Marek Ostaszewski,Marek,NaN,NaN,PASS,male,1.0,PASS,,,
Challenges in funding and developing genomic software: roots and remedies.,Adam Siepel,Adam,NaN,NaN,PASS,male,0.98,PASS,,,
"Clinical, methodology, and patient/carer expert advice in pediatric drug development by conect4children.",Katharine Cheng,Katharine,NaN,NaN,PASS,female,1.0,PASS,,,
"Cloudy with a Chance of Peptides: Accessibility, Scalability, and Reproducibility with Cloud-Hosted Environments.",Benjamin A Neely,Benjamin A,NaN,NaN,PASS,male,1.0,PASS,,,
Comparative genomics of four lactic acid bacteria identified with Vitek MS (MALDI-TOF) and whole-genome sequencing.,Özge Kahraman-Ilıkkan,Özge,NaN,NaN,PASS,female,0.98,PASS,,,
Computational Approaches to Enzyme Inhibition by Marine Natural Products in the Search for New Drugs.,Federico Gago,Federico,NaN,NaN,PASS,male,1.0,PASS,,,
Consensus Recommendations for Clinical Outcome Assessments and Registry Development in Ataxias: Ataxia Global Initiative (AGI) Working Group Expert Guidance.,Thomas Klockgether,Thomas,NaN,NaN,PASS,male,1.0,PASS,,,
"Coping with interoperability in the development of a federated research infrastructure: achievements, challenges and recommendations from the JA-InfAct.",Juan González-García,Juan,NaN,NaN,PASS,male,0.99,PASS,,,
Data quality and patient characteristics in European ANCA-associated vasculitis registries: data retrieval by federated querying.,Karl Gisslander,Karl,NaN,NaN,PASS,male,0.99,PASS,,,
